pair_id,是否需单独判断,所属规则,产品A,品牌A,产品B,品牌B,模型一判定,模型一理由,模型二判定,模型二理由,向量相似度,您的判定（相同/可替代/不可替代/拿不准）,备注
P0381,,同类耗材，容量不同,"Biologix® 1000ml PP Reagent Bottles, Clear, 10 /Bag, 5 Bags/Case - 50 /Case",Biologix,"Biologix® 30ml PP reagent bottles, Clear color, Autoclavable, 100/Bag, 10 Bags/Case - 1000/Case",Biologix,不可替代,"Different volume (1000ml vs 30ml) reagent bottles, different use case",可替代,Same reagent bottle line but 1000 mL vs 30 mL capacity; only loosely interchangeable,0.929,,
P0506,,同类耗材，容量不同,"Screw cap micro tube, 0.5 ml, 500 Piece(s)",SARSTED,"Screw cap micro tube, 1.5 ml, PCR Performance Tested, Low protein-binding, 1000 Piece(s)",SARSTED,不可替代,"Different tube volume (0.5ml vs 1.5ml) and different performance specs (PCR-tested, low-binding)",可替代,Both screw-cap micro tubes but different volume (0.5 vs 1.5 ml) and performance grade,0.900,,
P0539,,同类耗材，容量不同,"NEST Filtered Pipette Tips, Clear, Racked, Low Retention, Sterile,  96/box, 960/pk, 4800/cs - 10 ul - extra long",NEST Scientific,"Pipette Tips, Extra-long, Clear, DoubleStack Racked, Racked, Low-retention, Sterile, 96 tips/wafer,10 wafers (960 tips)/pk, 9600 tips/cs - 200 ul",AstorScientific,可替代,Both filtered low-retention pipette tips but different sizes (10ul vs 200ul),不可替代,Tip capacity differs (10 µl vs 200 µl); not interchangeable for pipetting volumes,0.828,,
P0540,,同类耗材，容量不同,"NEST Serological Pipette Individually Wrapped, sterile - 100 mL - 0 ml negative graduation, 1 ml graduations, 25/bag, 50/pk, 300/cs",NEST Scientific,"NEST Serological Pipette with 0.4ml negative graduation, 1/100 ml graduations, Sterile, 20 per bulk bag - 10 mL - 3.0ml negative graduation, 1/10 ml graduations, 500/pk, 1500/cs",NEST Scientific,可替代,Different pipette volumes/graduations (100mL vs 10mL) serving different volume needs,不可替代,Serological pipettes of very different capacity (100 mL vs 10 mL) and graduation,0.941,,
P0541,,同类耗材，容量不同,"NEST Serological Pipette Individually Wrapped, sterile - 100 mL - 0 ml negative graduation, 1 ml graduations, 25/bag, 50/pk, 300/cs",NEST Scientific,"NEST Serological Pipette Individually Wrapped, sterile - 50 mL - 6.0ml negative graduation, 5/10 ml graduations, 25/bag, 100/cs, 600/cs",NEST Scientific,不可替代,"Different pipette volumes (100mL vs 50mL) with different graduations, not interchangeable",可替代,Same product line but 100 mL vs 50 mL capacity/graduation—different volume range,0.953,,
P0759,,同类耗材，容量不同,"Screw cap tube, 15 ml,  120 x 17 mm, PS, with print, 500 Piece(s)",SARSTED,"Screw cap tube, 10 ml,  92 x 15.3 mm, PP, 100 Piece(s)",SARSTED,不可替代,"Different volume, dimensions and material (15ml PS printed vs 10ml PP)",可替代,Both screw cap tubes but different volume/material,0.870,,
P0849,,同类耗材，容量不同,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, 250 Piece(s)",SARSTED,相同,"Same product, different pack size (sterile 2ml tube)",可替代,Same 2 ml screw cap tube but sterile vs non-sterile (and pack size),0.975,,
P0854,,同类耗材，容量不同,"Biologix® 50ml Conical Bottom Centrifuge Tubes With Screw Caps, Sterile, 500/Case - Plug Seal / Bulk (25 /Bag, 20 Bags/Case)",Biologix,"Centrifuge Tubes, 50 ml , Black ,PP,Sterile - 25/Bag",GenDEPOT,可替代,"Both 50ml sterile centrifuge tubes, differ in color/material treatment but interchangeable for most uses",相同,Both sterile 50 ml PP conical screw-cap centrifuge tubes; only brand/pack differ.,0.831,,
P0885,,同类耗材，容量不同,"Pipette Tips, Extra-long, Clear, DoubleStack Racked, Racked, Low-retention, Sterile, 96 tips/wafer,10 wafers (960 tips)/pk, 9600 tips/cs - 200 ul",AstorScientific,"NEST  Filtered Pipette Tips, Clear, Racked, Sterile,  96/box, 960/pk, 4800/cs - 10 ul - extra long",NEST Scientific,可替代,Both extra-long pipette tips but different volume spec (200ul vs 10ul) and brand,不可替代,200 uL non-filtered tips vs 10 uL filtered tips: different volume and filter spec,0.822,,
P0887,,同类耗材，容量不同,"Pipette Tips, Extra-long, Clear, DoubleStack Racked, Racked, Low-retention, Sterile, 96 tips/wafer,10 wafers (960 tips)/pk, 9600 tips/cs - 200 ul",AstorScientific,"NEST Pipette Tips, Clear, non-filtered, Racked, Sterile, 96/box, 960/pk, 4800/cs - 200-1000 ul",NEST Scientific,可替代,"Both are 200uL pipette tips, low-retention/sterile, different brands but functionally interchangeable",不可替代,Different tip volume ranges (200 µl low-retention vs 200-1000 µl non-filtered),0.847,,
P1116,,同类耗材，容量不同,"CryoPure tubes, 1.2 ml, QuickSeal screw cap, yellow, 500 Piece(s)",SARSTED,"CryoPure tubes, 2 ml, QuickSeal screw cap, violet, 500 Piece(s)",SARSTED,不可替代,Different volume (1.2ml vs 2ml) and cap color denote distinct product SKUs for different use volumes,可替代,"Same cryovial line, different volume (1.2 vs 2 ml) and cap color",0.912,,
P1131,,同类耗材，容量不同,"CryoKING® 1.5ml Cryogenic Vials, External Thread, Sterile, Self-Standing, Side Barcode, 25/Bag, 500/Pack, 1000/Case - White / Case (1000 pcs/Case)",Biologix,"CryoKING® 1.5ml Cryogenic Vials, Self-Standing, 25/Bag, 500/Pack, 1000/Case - White / Case (1000 pcs)",Biologix,相同,"same CryoKING 1.5ml cryogenic vial product, minor listing differences",可替代,Same 1.5ml self-standing cryovials; A specifies sterile external thread with side barcode—labelling/spec difference for tracking,0.956,,
P1159,,同类耗材，容量不同,"Screw cap micro tube, 1.5 ml, PCR Performance Tested, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,不可替代,"different tube volumes (1.5ml vs 2ml) and sterility spec differ, affects use",可替代,Same screw-cap microtube family but different volume (1.5 vs 2 ml) and sterility/PCR grade.,0.890,,
P1234,,同类耗材，容量不同,"Centrifuge Tubes, 15 ml ,PP,Sterile,Plug-Seal Cap, in Rack",GenDEPOT,"NEST Standard centrifuge tube, sterile (15 ml and 50 ml) - 15 mL - PS Rack, 50/pk, 500/cs",NEST Scientific,相同,Both 15ml sterile PP centrifuge tubes in racks,可替代,"Both sterile 15 mL conical tubes, different brand/material (PP vs PS rack), functionally equivalent",0.817,,
P1274,,同类耗材，容量不同,"Cryogenic Vials-Multi Barcodes, External Thread, 1.0ml,  25 Sets/Bag, 1000 Pcs/Case - Purple / 1000 Pcs",Biologix,"Cryogenic Vials-Multi Barcodes, External Thread, 0.5ml,  25 Sets/Bag, 1000 Pcs/Case - Blue / 1000 Pcs",Biologix,不可替代,"Different volume (1.0ml vs 0.5ml) and color-coded vials, different SKUs for different uses",可替代,Same cryovial line but different fill volume (1.0 vs 0.5 mL) and colour code,0.900,,
P1286,,同类耗材，容量不同,"Faeces tube, with spoon, screw cap,  101 x 16.5 mm, transparent, 250 Piece(s)",SARSTED,"Faeces tube, screw cap,  76 x 20 mm, transparent, 500 Piece(s)",SARSTED,不可替代,"Different tube dimensions and pack sizes for faeces tubes, different specs",可替代,Both faeces collection tubes but different dimensions and one lacks spoon,0.955,,
P1297,,同类耗材，容量不同,"SafeSeal reaction tube, 2 ml, PP, Biosphere plus, 250 Piece(s)",SARSTED,"SafeSeal reaction tube, 1.5 ml, PP, PCR Performance Tested, Low protein-binding, 200 Piece(s)",SARSTED,可替代,"Different tube volume and protein-binding spec, same general reaction tube use",不可替代,Different tube volume (2 ml vs 1.5 ml) and different surface/spec grade,0.902,,
P1419,,同类耗材，容量不同,"Screw cap micro tube, 2 ml, sterile, 1000 Piece(s)",SARSTED,"Screw cap micro tube, 2 ml, 250 Piece(s)",SARSTED,相同,"Same screw cap micro tube 2ml, only pack size differs",可替代,"Same 2 ml screw cap tube but A is sterile, B non-sterile; sterility differs beyond pack size",0.975,,
P1460,,同类耗材，容量不同,"Cryogenic Vials-Multi Barcodes, External Thread, 1.0ml,  25 Sets/Bag, 1000 Pcs/Case - Clear / 1000 Pcs",Biologix,"Cryogenic Vials-Multi Barcodes, External Thread, 0.5ml,  25 Sets/Bag, 1000 Pcs/Case - Blue / 1000 Pcs",Biologix,不可替代,"Different vial volumes (1.0ml vs 0.5ml) with different colors, not interchangeable pack sizes",可替代,Same barcoded cryovial line but different fill volume (1.0 vs 0.5 ml) and color; volume difference matters for storage but often interchangeable,0.923,,
P1483,,同类耗材，容量不同,"20ul Low Retention Filter Tip, Universal Fit,96/Rack",GenDEPOT,"Filter Pipette Tips-1,000uL Extra-Long, Low Retention (50 Racks/Case)",Biologix,不可替代,"Different tip volume (20ul vs 1000uL) and length spec, not interchangeable for most applications",可替代,Both low-retention filter tips but different volume (20 µL vs 1000 µL) and pack format,0.831,,
P1650,,同类耗材，容量不同,"S-Monovette rack D17,  opening: 17 mm, 5 x 10, red, 1 Piece(s)",SARSTED,"Rack, PC, format: 10 x 2, suitable for tubes, all S-Monovette diameters, 1 Piece(s)",SARSTED,不可替代,"Different rack formats/sizes for tube holding, not interchangeable",可替代,Both S-Monovette tube racks but different format/capacity (5x10 fixed 17 mm vs 10x2 all diameters),0.836,,
P1659,,同类耗材，容量不同,"Serological pipette, with tip, plugged, 5 ml, sterile, non-pyrogenic/endotoxin-free, non-cytotoxic,, 500 Piece(s)",SARSTED,"5 ml Disposable Serological Pipette CPP00005 - CPP00005: 200/Case (50/Pack, 4 Packs/Case)",Vazyme,相同,"Both are 5ml sterile serological pipettes, same specification, different brand/pack",可替代,Both sterile 5 mL disposable serological pipettes; different brand/pack details make them functionally interchangeable but not identical SKUs.,0.797,,
P1708,,同类耗材，容量不同,"Biologix® Pipette Tips-10µl/200μl/1000µl/1000µl Extended, (Rack, Sterile) - 1000µl Extended / Case(9600 pcs)",Biologix,10 μl Pipette Tips (Rack) PTR00111 - PTR00111: 960 (10 racks of 96) / Unit,Vazyme,可替代,Both pipette tips but different size ranges and brands,不可替代,1000µl extended tips vs 10µl tips - incompatible volumes,0.768,,
P1740,,同类耗材，容量不同,"Screw cap micro tube, 2 ml, 250 Piece(s)",SARSTED,"Screw cap micro tube, 0.5 ml, Biosphere plus, 500 Piece(s)",SARSTED,不可替代,Different tube volumes (2ml vs 0.5ml) - different specification,可替代,Same screw-cap micro tube line but different volume (2 mL vs 0.5 mL) and Biosphere plus grade,0.909,,
P1818,,同类耗材，容量不同,"1000 μl Pipette Tips (Filtered, Rack) PTR10021 - PTR10022: 4800 (5 units of 960) / Case",Vazyme,"Filter Pipette Tips-10μl, 20ul, 50ul, 100ul, 200ul, 1000ul  Extra-Long, Low Retention, 96/Rack, 4800/Case - 1-100ul / Case (50 Racks)",Biologix,可替代,"Both filtered 1000ul pipette tips in racks, different brands, similar specs",不可替代,1000 µl filtered tips vs 1-100 µl extra-long tips; incompatible volume range,0.804,,
P1824,,同类耗材，容量不同,"Biologix® Petri Dishes-150x15mm, 10/Bag, 30/Pack, 200/Case - Case ( 200Pcs )",Biologix,"NEST Petri Dish, Sterile 20/pk, 500/cs - 100 x 15 mm, Y-Plate (3-section), stackable",NEST Scientific,可替代,"Both sterile petri dishes usable for culture, but different size/design and brand",不可替代,150mm standard dish vs 100mm 3-section Y-plate; different format,0.790,,
P1863,,同类耗材，容量不同,"Cryogenic Vials with Side Bardcode-0.5 ml, External Thread, 25/Bag, 500/Pack, 1000/Case - Red / Case (1000 pcs/Case)",Biologix,"Cryogenic Vials with Side Bardcode-0.5 ml, External Thread, 25/Bag, 500/Pack, 1000/Case - Blue / Case (1000 pcs/Case)",Biologix,不可替代,"Different color-coded vials likely used for sample differentiation, not interchangeable in workflow",相同,"Same barcoded 0.5 mL cryovial, only cap colour code differs",0.955,,
P1883,,同类耗材，容量不同,"NEST 100 uL 96 Well PCR Plate, No Skirt, H12 notch, 25/pk, 100/cs - White",NEST Scientific,"0.2ml 96 Well PCR Plate, Semi Skirt, Clear, A12 notch, 25/pk, 100/cs, for ABI machine (ABI Equivalent)",AstorScientific,可替代,"Both are 96-well PCR plates with similar volume, differing skirt/notch type and brand equivalence claimed",不可替代,"Skirt format and notch differ (no-skirt white vs semi-skirt clear), affecting instrument fit.",0.805,,
P0060,,同类产品，灭菌状态或等级不同,"Tissue culture dish, (xH): 100 x 20 mm, surface: Suspension, 300 Piece(s)",SARSTED,"NEST Cell culture dishes, TC, Sterile (35 mm to 150 mm) - 100 mm - 5/bag - 300/cs",NEST Scientific,可替代,Both 100mm tissue culture dishes but differing surface treatment (suspension vs TC-treated) changes cell attachment behavior,不可替代,Suspension (non-treated) surface vs TC-treated culture dish; surface treatment changes cell attachment,0.813,,
P0121,,同类产品，灭菌状态或等级不同,Dulbecco's Phosphate-Buffered Saline (DPBS) - 1L,GenDEPOT,"1x Dulbecco’s Phosphate Buffered Saline (DPBS) Without Calcium, and magnesium, Sterile for Cell Culture - 6 x 1 L",TribioScience,相同,"same DPBS formulation without calcium/magnesium, different pack size/brand",可替代,"Both sterile 1x DPBS for cell culture, different brand and pack configuration; formulation (Ca/Mg-free) presumed same.",0.869,,
P0191,,同类产品，灭菌状态或等级不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,"Corning® Fetal Bovine Serum, 500 mL, Premium, United States Origin,Sterile - Yes",AstorScientific,可替代,"Both are FBS products but different processing (charcoal stripped vs standard premium), affecting hormone content",不可替代,Charcoal-stripped (hormone-depleted) FBS vs standard premium FBS changes experimental outcome,0.796,,
P0278,,同类产品，灭菌状态或等级不同,Dulbecco's Phosphate-Buffered Saline (DPBS) - 500ml,GenDEPOT,"1 x DPBS, Endotoxin Free (Sterile), Sterile 500 ML/each-Free shipping",AstorScientific,相同,"same DPBS formulation and volume, differences are labeling only",可替代,Same DPBS buffer; endotoxin-free sterile grade is a specification upgrade,0.796,,
P0298,,同类产品，灭菌状态或等级不同,"NEST 96 Well ELISA Plate, High Binding,  Non-sterile, 5/pk, 50/cs - Clear - undetachable",NEST Scientific,"Assay Plate: 96-Well, “V” Bottom, Clear, RNase/DNase-, and Pyrogen-free - 50 Plates",TribioScience,可替代,"Both 96-well assay plates for lab use, differing surface treatment/bottom shape",不可替代,High-binding flat ELISA plate vs V-bottom assay plate; binding surface and geometry differ,0.747,,
P0482,,同类产品，灭菌状态或等级不同,"Serological Pipettes, 100ml , Sterile, Individually Wrapped",GenDEPOT,"Serological pipette, with tip, plugged, 10 ml, sterile, 25 piece(s)/bag, 500 Piece(s)",SARSTED,不可替代,"100ml vs 10ml serological pipette volumes differ greatly, affecting experimental use and dispensing scale",可替代,Same sterile serological pipette type but 100 ml vs 10 ml capacity,0.883,,
P0741,,同类产品，灭菌状态或等级不同,"NEST 6 Cell Culture Inserts+6 Well Plate, PET Membrane, TC, Sterile, 6/pk, 60/cs - 3.0 um",NEST Scientific,"NEST Cell Culture Plate, Flat, TC, sterile 1/pk - 6 Well - 50/cs",NEST Scientific,不可替代,"Insert+plate combo product vs standalone plate, different functional use",可替代,Insert-plus-plate transwell system vs plain 6-well plate; related culture ware but different function,0.847,,
P0809,,同类产品，灭菌状态或等级不同,"Serological pipette, with tip, plugged, 10 ml, sterile, non-pyrogenic/endotoxin-free, non-cytoto..., 500 Piece(s)",SARSTED,"Serological Pipettes, 1ml , Sterile, Individually Wrapped , 1 ml - 500/pk",GenDEPOT,不可替代,"Different volume capacity (10ml vs 1ml serological pipettes), not interchangeable for volume-specific applications",可替代,Same consumable type but 10 ml vs 1 ml capacity — different pipetting volume,0.826,,
P0853,,同类产品，灭菌状态或等级不同,"Biologix® 50ml Conical Bottom Centrifuge Tubes With Screw Caps, Sterile, 500/Case - Plug Seal / Bulk (25 /Bag, 20 Bags/Case)",Biologix,"Biologix® 15ml Conical Bottom Centrifuge Tubes With Screw Caps, Sterile, 500/Case - Flat Top / Bulk (500/Case)",Biologix,不可替代,Different tube volumes (50ml vs 15ml) and cap types,可替代,Same tube line but 50 mL vs 15 mL capacity (and cap style) - different volume format,0.914,,
P0918,,同类产品，灭菌状态或等级不同,"NEST Filtered Pipette Tips, Clear, Racked, Low Retention, Sterile,  96/box, 960/pk, 4800/cs - 20 ul",NEST Scientific,"20ul Low Retention Filter Tip, Universal Fit,96/Rack",GenDEPOT,可替代,"Both 20ul low retention filter tips, sterile racked, different brands but functionally interchangeable",相同,"Both 20 µl low-retention filtered pipette tips, racked 96/rack; only brand/pack differ",0.834,,
P0981,,同类产品，灭菌状态或等级不同,"NEST Vacuum Filtration, 0.45 μm, PVDF, Sterile, 1/pk, 12/cs - 50 mL",NEST Scientific,OMICRON® Borosilicate Glass Fiber Binder Free Filter (Pack of 100) - 0.7um; 47mm similar to GF/F,AstorScientific,可替代,Both are filtration/filter products (membrane filter unit vs glass fiber filter) serving similar filtration purpose but different format,不可替代,Sterile vacuum filter unit vs glass fiber filter discs; different function and pore size,0.682,,
P1201,,同类产品，灭菌状态或等级不同,"MCE Gridded Membrane Filter, Individual Pack, Sterile, 0.22μm, 47mm, 100 Pcs/Box - White, Black grid",Biologix,OMICRON® Borosilicate Glass Fiber Binder Free Filter (Pack of 100) - 0.7um; 47mm similar to GF/F,AstorScientific,可替代,Different filter materials (MCE vs glass fiber) and pore size (0.22um vs 0.7um) serve different filtration purposes but same general filtering function,不可替代,MCE 0.22µm sterile membrane vs glass fiber 0.7µm prefilter - different material and pore size/function,0.678,,
P1317,,同类产品，灭菌状态或等级不同,"NEST Syringe Filter, 13 mm Housing Diameter, PVDF membrane, Sterile, Individually wrapped, 50/cs - 0.45 um",NEST Scientific,"Sterile Syringe Filter-CA, 30mm Diameter (Female Luer Lock + Male Luer Slip), 100/Pack, 400/Case - Case(400 Pcs) / 0.22um",Biologix,不可替代,"Different membrane material, size, and pore size (PVDF 0.45um vs CA 0.22um)",可替代,"Both sterile syringe filters but differ in pore size (0.45 vs 0.22 um), membrane and diameter",0.760,,
P1325,,同类产品，灭菌状态或等级不同,0.2 ml  Skirted Micro Well Plates RSP09602-EN - RSP09602-EN:50 Plates/Box,Vazyme,"Assay Plate: 96-Well, “V” Bottom, Clear, RNase/DNase-, and Pyrogen-free - 50 Plates",TribioScience,可替代,"Both are 96-well plates for PCR/assay use, different well shapes/branding but functionally interchangeable for many uses",不可替代,0.2 ml PCR skirted plate vs V-bottom assay plate; different function,0.752,,
P1413,,同类产品，灭菌状态或等级不同,"Filtropur V50, Vacuum filtration unit, 500 ml, PES, 0.1 ¬µm, 12 Piece(s)",SARSTED,"NEST Vacuum Filtration, 0.45 μm, PVDF, Sterile, 1/pk, 12/cs - 150 mL",NEST Scientific,可替代,Both vacuum filtration units but different pore size/membrane and volume,不可替代,"Different pore size (0.1 vs 0.45 µm), membrane (PES vs PVDF) and volume — changes filtration outcome.",0.799,,
P1521,,同类产品，灭菌状态或等级不同,"Vacuum Filtration Unit, Membrane: PES, Pore size: 0.22μm, 1/Pack, 12/Case - 12 Pcs/Case",Biologix,"Sterile Syringe Filter-CA, 30mm Diameter (Female Luer Lock + Male Luer Slip), 100/Pack, 400/Case - Case(400 Pcs) / 0.22um",Biologix,不可替代,Vacuum filtration unit vs syringe filter - different device types and use cases,可替代,Both 0.22 µm sterilizing filters; bottle-top vacuum unit vs syringe filter differ in format/volume but serve same sterile filtration purpose,0.787,,
P1524,,同类产品，灭菌状态或等级不同,"MCE Gridded Membrane Filter, Individual Pack, Sterile, 0.22μm, 47mm, 100 Pcs/Box - Black，White grid",Biologix,OMICRON® Borosilicate Glass Fiber Binder Free Filter (Pack of 100) - 0.7um; 47mm similar to GF/F,AstorScientific,可替代,Both 47mm filters ~similar pore size but different materials (MCE vs glass fiber) serve similar filtration purposes,不可替代,Sterile gridded MCE 0.22µm membrane for microbiology vs glass fiber 0.7µm prefilter,0.685,,
P1543,,同类产品，灭菌状态或等级不同,"NEST Cell Culture Plate, Flat, TC, sterile 1/pk - 12 Well - 50/cs",NEST Scientific,"Cell Culture Plates-6/12/24/48/96-Well, 1/Pack, 50/Case - 12-well / Case (50 pcs)",Biologix,可替代,"Same well count and format (12-well TC plates) from different brands, functionally interchangeable",相同,"Equivalent 12-well TC-treated culture plates, 50/case, different brands",0.838,,
P1581,,同类产品，灭菌状态或等级不同,"SureStrain™ Premium Cell Strainers, 70 µm, Sterile, Individually Wrapped",GenDEPOT,"Cell strainer, pore size: 40 ¬µm, blue, 50 Piece(s)",SARSTED,可替代,Both cell strainers but different pore sizes (70µm vs 40µm) and brands,不可替代,Different pore size (70 µm vs 40 µm) changes the cell fraction retained.,0.827,,
P1657,,同类产品，灭菌状态或等级不同,"Assay Plate: 96-Well, “V” Bottom, Clear, RNase/DNase-, and Pyrogen-free - 50 Plates",TribioScience,"NEST Cell Culture Plate, Flat, TC, sterile 1/pk - 96 Well - 100/cs",NEST Scientific,可替代,"Both are 96-well plastic plates for lab use, but different well shapes (V-bottom vs flat) and treatment (RNase-free vs TC)",不可替代,V-bottom non-treated assay plate vs TC-treated flat-bottom cell culture plate; surface and geometry change results.,0.746,,
P1658,,同类产品，灭菌状态或等级不同,"Serological pipette, with tip, plugged, 5 ml, sterile, non-pyrogenic/endotoxin-free, non-cytotoxic,, 500 Piece(s)",SARSTED,"Serological Pipettes, 1ml , Sterile, Individually Wrapped , 1 ml - 500/pk",GenDEPOT,不可替代,"Different volume (5ml vs 1ml) serological pipettes, spec difference changes usage",可替代,Both sterile serological pipettes but different volumes (5 ml vs 1 ml),0.838,,
P1706,,同类产品，灭菌状态或等级不同,"Biologix® Sterile Serological Pipettes-1ML, 2ML, 5ML,  10ML, 15ML, 50ML - 2ml / Case",Biologix,"Serological Pipettes, 1ml , Sterile, Individually Wrapped , 1 ml - 500/pk",GenDEPOT,不可替代,"Biologix listing covers multiple sizes/case format, not matching specific 1ml/500pk sterile pipette spec",可替代,Both sterile serological pipettes but different nominal volume (2 mL vs 1 mL),0.845,,
P1709,,同类产品，灭菌状态或等级不同,"NEST 0.1 or 0.2 mL PCR 8-strip Tubes, Clear or White, Sterile, 125/pk, 1250/cs - 0.2 mL - Clear",NEST Scientific,"NEST 0.1 or 0.2 mL PCR 8-strip Tubes, Clear or White, Sterile, 125/pk, 1250/cs - 0.2 mL - White",NEST Scientific,相同,"Same product line, only color variant (clear vs white) differs",可替代,"Same tubes, color differs (clear vs white); white affects optical/qPCR reflectivity but broadly interchangeable for PCR",0.979,,
P1722,,同类产品，灭菌状态或等级不同,"NEST  Bottle Top Vacuum Filter, 0.22μm, PVDF, Sterile, 1/pk, 24/cs - 500 mL",NEST Scientific,"NEST Syringe Filter, 25 mm Housing Diameter, PVDF membrane, Sterile, Individually wrapped, 50/cs - 0.22 um",NEST Scientific,不可替代,Bottle top vacuum filter vs syringe filter are different filtration formats,可替代,Both 0.22um PVDF sterile filters but bottle-top vacuum vs syringe format; different throughput use,0.849,,
P1902,,同类产品，灭菌状态或等级不同,"Biologix® Sterile Serological Pipettes-1ML, 2ML, 5ML,  10ML, 15ML, 50ML - 50ml / Case",Biologix,"5 ml Disposable Serological Pipette CPP00005 - CPP00005: 200/Case (50/Pack, 4 Packs/Case)",Vazyme,可替代,Both serological pipettes; A is a multi-size range including 5ml matching B's specific size,不可替代,Different pipette capacity (50 ml vs 5 ml) changes use,0.820,,
P1910,,同类产品，灭菌状态或等级不同,"Biologix® Sterile Serological Pipettes-1ML, 2ML, 5ML,  10ML, 15ML, 50ML - 1ml / Case",Biologix,"Serological Pipettes, 1ml , Sterile, Individually Wrapped , 1 ml - 500/pk",GenDEPOT,可替代,"Both sterile 1ml serological pipettes, different brand/packaging",相同,Both 1 mL sterile individually wrapped serological pipettes; only brand/pack differ,0.875,,
P1935,,同类产品，灭菌状态或等级不同,"lumox multiwell, Cell culture plate, with foil base, 384 well, 4 Piece(s)",SARSTED,"Corning® 384-well Black/Clear Round Bottom Ultra-Low Attachment Spheroid Microplate, Bulk Packed 10 per Bag, with Lid, Sterile",AstorScientific,可替代,Both are 384-well culture plates but different surface treatment (foil base vs ultra-low attachment),不可替代,Gas-permeable foil-base imaging plate vs ultra-low-attachment spheroid plate; different function,0.786,,
P1960,,同类产品，灭菌状态或等级不同,"Serological Pipettes, 1ml , Sterile, Individually Wrapped , 1 ml - 500/pk",GenDEPOT,"NEST Serological Pipette Individually Wrapped, sterile - 5 mL - 2.5ml negative graduation, 1/10 ml graduations, 50/bag, 200/pk, 800/cs",NEST Scientific,可替代,Both sterile individually wrapped serological pipettes but different volume (1ml vs 5ml),不可替代,"1 mL vs 5 mL serological pipette - different volume/graduation, not interchangeable",0.825,,
P1978,,同类产品，灭菌状态或等级不同,"Corning® 384-well Black/Clear Round Bottom Ultra-Low Attachment Spheroid Microplate, Bulk Packed 10 per Bag, with Lid, Sterile",AstorScientific,"lumox multiwell, Cell culture plate, with foil base, 384 well, 20 Piece(s)",SARSTED,可替代,"Both 384-well cell culture plates, different surface treatment/format but similar use",不可替代,Ultra-low attachment spheroid plate vs gas-permeable foil-base imaging plate; different function,0.784,,
P0039,,同一基础配方，添加成分不同,Stop Solution for TMB Substrate - 1000 ML,TribioScience,TMB Stop Buffer - 500ml,GenDEPOT,可替代,"Both are TMB stop solutions/buffers serving the same ELISA stopping function, different brands/volumes",相同,Both acid stop solutions for TMB ELISA substrate; only volume/brand differ,0.829,,
P0087,,同一基础配方，添加成分不同,Fetal Bovine Serum-Clearance - Gibco-A5256801-FBS Heat Inactivated Fetal Bovine Serum 500 ml,AstorScientific,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,可替代,"Both FBS but heat inactivated vs charcoal stripped serve different purposes for some applications, though both are FBS supplements",不可替代,Heat-inactivated standard FBS vs charcoal-stripped FBS (hormone-depleted) - changes experiments.,0.794,,
P0092,,同一基础配方，添加成分不同,Fetal Bovine Serum-Clearance - Gibco-A5256801-FBS Heat Inactivated Fetal Bovine Serum 500 ml,AstorScientific,Tribo Cardiomyocyte-Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,不可替代,"one is standard heat-inactivated FBS, other is cardiomyocyte-qualified specialty FBS",可替代,"Both 500 mL FBS, but one is heat-inactivated generic and other is cardiomyocyte-qualified; usable for similar purpose with caveats.",0.798,,
P0179,,同一基础配方，添加成分不同,MCDB 131 Medium - 500ml,GenDEPOT,Tribo™ MSC Medium - 500 ML,TribioScience,可替代,Both are cell culture media (MSC-related) that could serve similar culturing purposes though formulations differ,不可替代,MCDB 131 (endothelial/defined) vs MSC-specific medium; different intended cell types,0.866,,
P0183,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Tribo™ Germine Transmission Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,可替代,"Both FBS products serving similar cell culture supplement purpose, different specialty grades",不可替代,Charcoal-stripped FBS (hormone-depleted) vs germline-transmission qualified FBS; different specification affecting results,0.869,,
P0184,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Tribo™ Cancer Cell Qualified Fetal Bovine Serum (FBS) - 100 ML,TribioScience,可替代,"Both are FBS products for cell culture, different specialty grades but interchangeable for many uses",不可替代,Charcoal-stripped FBS (hormone-depleted) vs standard qualified FBS; different experimental use,0.848,,
P0185,,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Tribo Cardiomyocyte-Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,可替代,Both are specialized FBS variants but different treatment/qualification (charcoal stripped vs cardiomyocyte-qualified) serving different specific purposes,不可替代,Charcoal-stripped (hormone-depleted) FBS vs cardiomyocyte-qualified FBS; stripping changes experimental outcome.,0.862,,
