pair_id,rule,a,brand_a,b,brand_b,kind,note,raw,model1,model2,similarity
P0191,同类产品，灭菌状态或等级不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,"Corning® Fetal Bovine Serum, 500 mL, Premium, United States Origin,Sterile - Yes",AstorScientific,none,,不可替代,substitute,none,0.796
P0278,同类产品，灭菌状态或等级不同,Dulbecco's Phosphate-Buffered Saline (DPBS) - 500ml,GenDEPOT,"1 x DPBS, Endotoxin Free (Sterile), Sterile 500 ML/each-Free shipping",AstorScientific,none,,不可替代,exact,substitute,0.796
P0298,同类产品，灭菌状态或等级不同,"NEST 96 Well ELISA Plate, High Binding,  Non-sterile, 5/pk, 50/cs - Clear - undetachable",NEST Scientific,"Assay Plate: 96-Well, “V” Bottom, Clear, RNase/DNase-, and Pyrogen-free - 50 Plates",TribioScience,none,,不可替代,substitute,none,0.747
P0482,同类产品，灭菌状态或等级不同,"Serological Pipettes, 100ml , Sterile, Individually Wrapped",GenDEPOT,"Serological pipette, with tip, plugged, 10 ml, sterile, 25 piece(s)/bag, 500 Piece(s)",SARSTED,substitute,serological pipette 一般都是灭菌的,"可替代,serological pipette 一般都是灭菌的",none,substitute,0.883
P0741,同类产品，灭菌状态或等级不同,"NEST 6 Cell Culture Inserts+6 Well Plate, PET Membrane, TC, Sterile, 6/pk, 60/cs - 3.0 um",NEST Scientific,"NEST Cell Culture Plate, Flat, TC, sterile 1/pk - 6 Well - 50/cs",NEST Scientific,none,,不可替代,none,substitute,0.847
P0809,同类产品，灭菌状态或等级不同,"Serological pipette, with tip, plugged, 10 ml, sterile, non-pyrogenic/endotoxin-free, non-cytoto..., 500 Piece(s)",SARSTED,"Serological Pipettes, 1ml , Sterile, Individually Wrapped , 1 ml - 500/pk",GenDEPOT,none,,不可替代,none,substitute,0.826
P0853,同类产品，灭菌状态或等级不同,"Biologix® 50ml Conical Bottom Centrifuge Tubes With Screw Caps, Sterile, 500/Case - Plug Seal / Bulk (25 /Bag, 20 Bags/Case)",Biologix,"Biologix® 15ml Conical Bottom Centrifuge Tubes With Screw Caps, Sterile, 500/Case - Flat Top / Bulk (500/Case)",Biologix,none,,不可替代,none,substitute,0.914
P0918,同类产品，灭菌状态或等级不同,"NEST Filtered Pipette Tips, Clear, Racked, Low Retention, Sterile,  96/box, 960/pk, 4800/cs - 20 ul",NEST Scientific,"20ul Low Retention Filter Tip, Universal Fit,96/Rack",GenDEPOT,substitute,,可替代,substitute,exact,0.834
P0981,同类产品，灭菌状态或等级不同,"NEST Vacuum Filtration, 0.45 μm, PVDF, Sterile, 1/pk, 12/cs - 50 mL",NEST Scientific,OMICRON® Borosilicate Glass Fiber Binder Free Filter (Pack of 100) - 0.7um; 47mm similar to GF/F,AstorScientific,none,,不可替代,substitute,none,0.682
P1201,同类产品，灭菌状态或等级不同,"MCE Gridded Membrane Filter, Individual Pack, Sterile, 0.22μm, 47mm, 100 Pcs/Box - White, Black grid",Biologix,OMICRON® Borosilicate Glass Fiber Binder Free Filter (Pack of 100) - 0.7um; 47mm similar to GF/F,AstorScientific,none,,不可替代,substitute,none,0.678
P1317,同类产品，灭菌状态或等级不同,"NEST Syringe Filter, 13 mm Housing Diameter, PVDF membrane, Sterile, Individually wrapped, 50/cs - 0.45 um",NEST Scientific,"Sterile Syringe Filter-CA, 30mm Diameter (Female Luer Lock + Male Luer Slip), 100/Pack, 400/Case - Case(400 Pcs) / 0.22um",Biologix,none,,不可替代,none,substitute,0.76
P1325,同类产品，灭菌状态或等级不同,0.2 ml  Skirted Micro Well Plates RSP09602-EN - RSP09602-EN:50 Plates/Box,Vazyme,"Assay Plate: 96-Well, “V” Bottom, Clear, RNase/DNase-, and Pyrogen-free - 50 Plates",TribioScience,none,,不可替代,substitute,none,0.752
P1413,同类产品，灭菌状态或等级不同,"Filtropur V50, Vacuum filtration unit, 500 ml, PES, 0.1 ¬µm, 12 Piece(s)",SARSTED,"NEST Vacuum Filtration, 0.45 μm, PVDF, Sterile, 1/pk, 12/cs - 150 mL",NEST Scientific,none,,不可替代,substitute,none,0.799
P1521,同类产品，灭菌状态或等级不同,"Vacuum Filtration Unit, Membrane: PES, Pore size: 0.22μm, 1/Pack, 12/Case - 12 Pcs/Case",Biologix,"Sterile Syringe Filter-CA, 30mm Diameter (Female Luer Lock + Male Luer Slip), 100/Pack, 400/Case - Case(400 Pcs) / 0.22um",Biologix,none,,不可替代,none,substitute,0.787
P1524,同类产品，灭菌状态或等级不同,"MCE Gridded Membrane Filter, Individual Pack, Sterile, 0.22μm, 47mm, 100 Pcs/Box - Black，White grid",Biologix,OMICRON® Borosilicate Glass Fiber Binder Free Filter (Pack of 100) - 0.7um; 47mm similar to GF/F,AstorScientific,none,,不可替代,substitute,none,0.685
P1543,同类产品，灭菌状态或等级不同,"NEST Cell Culture Plate, Flat, TC, sterile 1/pk - 12 Well - 50/cs",NEST Scientific,"Cell Culture Plates-6/12/24/48/96-Well, 1/Pack, 50/Case - 12-well / Case (50 pcs)",Biologix,,无法判断，不知道是不是tc treated (biologix),无法判断，不知道是不是tc treated (biologix),substitute,exact,0.838
P1581,同类产品，灭菌状态或等级不同,"SureStrain™ Premium Cell Strainers, 70 µm, Sterile, Individually Wrapped",GenDEPOT,"Cell strainer, pore size: 40 ¬µm, blue, 50 Piece(s)",SARSTED,none,,不可替代,substitute,none,0.827
P1657,同类产品，灭菌状态或等级不同,"Assay Plate: 96-Well, “V” Bottom, Clear, RNase/DNase-, and Pyrogen-free - 50 Plates",TribioScience,"NEST Cell Culture Plate, Flat, TC, sterile 1/pk - 96 Well - 100/cs",NEST Scientific,none,,不可替代,substitute,none,0.746
P1658,同类产品，灭菌状态或等级不同,"Serological pipette, with tip, plugged, 5 ml, sterile, non-pyrogenic/endotoxin-free, non-cytotoxic,, 500 Piece(s)",SARSTED,"Serological Pipettes, 1ml , Sterile, Individually Wrapped , 1 ml - 500/pk",GenDEPOT,none,,不可替代,none,substitute,0.838
P1706,同类产品，灭菌状态或等级不同,"Biologix® Sterile Serological Pipettes-1ML, 2ML, 5ML,  10ML, 15ML, 50ML - 2ml / Case",Biologix,"Serological Pipettes, 1ml , Sterile, Individually Wrapped , 1 ml - 500/pk",GenDEPOT,none,,不可替代,none,substitute,0.845
P1709,同类产品，灭菌状态或等级不同,"NEST 0.1 or 0.2 mL PCR 8-strip Tubes, Clear or White, Sterile, 125/pk, 1250/cs - 0.2 mL - Clear",NEST Scientific,"NEST 0.1 or 0.2 mL PCR 8-strip Tubes, Clear or White, Sterile, 125/pk, 1250/cs - 0.2 mL - White",NEST Scientific,none,,不可替代,exact,substitute,0.979
P1722,同类产品，灭菌状态或等级不同,"NEST  Bottle Top Vacuum Filter, 0.22μm, PVDF, Sterile, 1/pk, 24/cs - 500 mL",NEST Scientific,"NEST Syringe Filter, 25 mm Housing Diameter, PVDF membrane, Sterile, Individually wrapped, 50/cs - 0.22 um",NEST Scientific,none,,不可替代,none,substitute,0.849
P1902,同类产品，灭菌状态或等级不同,"Biologix® Sterile Serological Pipettes-1ML, 2ML, 5ML,  10ML, 15ML, 50ML - 50ml / Case",Biologix,"5 ml Disposable Serological Pipette CPP00005 - CPP00005: 200/Case (50/Pack, 4 Packs/Case)",Vazyme,none,,不可替代,substitute,none,0.82
P1910,同类产品，灭菌状态或等级不同,"Biologix® Sterile Serological Pipettes-1ML, 2ML, 5ML,  10ML, 15ML, 50ML - 1ml / Case",Biologix,"Serological Pipettes, 1ml , Sterile, Individually Wrapped , 1 ml - 500/pk",GenDEPOT,substitute,,可替代,substitute,exact,0.875
P1935,同类产品，灭菌状态或等级不同,"lumox multiwell, Cell culture plate, with foil base, 384 well, 4 Piece(s)",SARSTED,"Corning® 384-well Black/Clear Round Bottom Ultra-Low Attachment Spheroid Microplate, Bulk Packed 10 per Bag, with Lid, Sterile",AstorScientific,none,,不可替代,substitute,none,0.786
P1960,同类产品，灭菌状态或等级不同,"Serological Pipettes, 1ml , Sterile, Individually Wrapped , 1 ml - 500/pk",GenDEPOT,"NEST Serological Pipette Individually Wrapped, sterile - 5 mL - 2.5ml negative graduation, 1/10 ml graduations, 50/bag, 200/pk, 800/cs",NEST Scientific,none,,不可替代,substitute,none,0.825
P1978,同类产品，灭菌状态或等级不同,"Corning® 384-well Black/Clear Round Bottom Ultra-Low Attachment Spheroid Microplate, Bulk Packed 10 per Bag, with Lid, Sterile",AstorScientific,"lumox multiwell, Cell culture plate, with foil base, 384 well, 20 Piece(s)",SARSTED,none,,不可替代,substitute,none,0.784
P0039,同一基础配方，添加成分不同,Stop Solution for TMB Substrate - 1000 ML,TribioScience,TMB Stop Buffer - 500ml,GenDEPOT,substitute,,可替代,substitute,exact,0.829
P0087,同一基础配方，添加成分不同,Fetal Bovine Serum-Clearance - Gibco-A5256801-FBS Heat Inactivated Fetal Bovine Serum 500 ml,AstorScientific,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,none,,不可替代,substitute,none,0.794
P0092,同一基础配方，添加成分不同,Fetal Bovine Serum-Clearance - Gibco-A5256801-FBS Heat Inactivated Fetal Bovine Serum 500 ml,AstorScientific,Tribo Cardiomyocyte-Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,substitute,,可替代,none,substitute,0.798
P0179,同一基础配方，添加成分不同,MCDB 131 Medium - 500ml,GenDEPOT,Tribo™ MSC Medium - 500 ML,TribioScience,none,,不可替代,substitute,none,0.866
P0183,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Tribo™ Germine Transmission Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,none,,不可替代,substitute,none,0.869
P0184,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Tribo™ Cancer Cell Qualified Fetal Bovine Serum (FBS) - 100 ML,TribioScience,none,,不可替代,substitute,none,0.848
P0185,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Tribo Cardiomyocyte-Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,none,,不可替代,substitute,none,0.862
P0187,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Tribo™ Fetal Bovine Serum (FBS) - 500 ML,TribioScience,none,,不可替代,none,substitute,0.88
P0188,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Premium USDA-Origin Fetal Bovine Serum (FBS) - 500 ml,AstorScientific,none,,不可替代,substitute,none,0.841
P0189,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 500ml",GenDEPOT,Tribo™ Adipocyte Differentiation-Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,none,,不可替代,substitute,none,0.844
P0208,同一基础配方，添加成分不同,"Fetal Bovine Serum (FBS), Premium, US Origin , Heat Inactivated",GenDEPOT,Premium USDA-Origin Fetal Bovine Serum (FBS) - 500 ml,AstorScientific,substitute,,可替代,exact,substitute,0.846
P0218,同一基础配方，添加成分不同,Tribo™ Tet-Free Fetal Bovine Serum (FBS) - 500 ML,TribioScience,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,none,,不可替代,substitute,none,0.847
P0219,同一基础配方，添加成分不同,Tribo™ Tet-Free Fetal Bovine Serum (FBS) - 500 ML,TribioScience,"Fetal Bovine Serum, Premium, US Origin, Dialyzed",GenDEPOT,substitute,,可替代,substitute,none,0.816
P0347,同一基础配方，添加成分不同,Ham’s F12 medium with L-Glutamine (TBS8032) - 500 ML,TribioScience,"Ham's F-10 Nutrient Mixture, With L-Glutamine - 500ml",GenDEPOT,none,,不可替代,none,substitute,0.811
P0350,同一基础配方，添加成分不同,Ham’s F12 medium with L-Glutamine (TBS8032) - 500 ML,TribioScience,"Ham's F-12 (Kaighn's Modification),With L-Glutamine - 6x500ml",GenDEPOT,none,,不可替代,exact,substitute,0.841
P0458,同一基础配方，添加成分不同,Ham’s F12K Medium (TBS8032K) - 500 ML,TribioScience,"Ham's F-12 (Kaighn's Modification),With L-Glutamine - 6x500ml",GenDEPOT,none,,不可替代,substitute,exact,0.827
P0477,同一基础配方，添加成分不同,Premium USDA-Origin Fetal Bovine Serum (FBS) - 50 ml,AstorScientific,"Fetal Bovine Serum, Premium, US Origin, Dialyzed",GenDEPOT,substitute,,可替代,substitute,none,0.809
P0563,同一基础配方，添加成分不同,"DMEM/F12, HEPES (TBS8083) - 500 ML",TribioScience,"DMEM/Ham's F-12 (1:1 Mixture), With HEPES - 6x500ml",GenDEPOT,substitute,,可替代,substitute,exact,0.847
P0791,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Tribo™ Germine Transmission Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,none,,不可替代,substitute,none,0.847
P0792,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Fetal Bovine Serum-Clearance - Gibco-10438026-heat inactivated USDA-approved regions 500 ml,AstorScientific,none,,不可替代,substitute,none,0.814
P0794,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Fetal Bovine Serum-Clearance - Gibico-10438-034-FBS Heat lnactivated Fetal Bovine Serum 1000ml,AstorScientific,none,,不可替代,substitute,none,0.803
P0797,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Premium USDA-Origin Fetal Bovine Serum (FBS) - 500 ml,AstorScientific,none,,不可替代,exact,substitute,0.82
P0798,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Tribo™ ESC/iPSC Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,none,,不可替代,substitute,none,0.834
P0799,同一基础配方，添加成分不同,"Fetal Bovine Serum, Charcoal Stripped - 100ml",GenDEPOT,Tribo™ Adipocyte Differentiation-Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,none,,不可替代,substitute,none,0.824
P0952,同一基础配方，添加成分不同,Stop Solution for TMB Substrate - 250 ML,TribioScience,TMB Stop Buffer - 500ml,GenDEPOT,substitute,,可替代,substitute,exact,0.832
P1212,同一基础配方，添加成分不同,Tribo Cardiomyocyte-Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,"Fetal Bovine Serum, Premium, US Origin, Dialyzed",GenDEPOT,none,,不可替代,substitute,none,0.816
P1383,同一基础配方，添加成分不同,Tribo™ Cancer Cell Qualified Fetal Bovine Serum (FBS) - 500 ML,TribioScience,"Fetal Bovine Serum, Premium, US Origin, Dialyzed",GenDEPOT,none,,不可替代,substitute,none,0.828
P1701,同一基础配方，添加成分不同,TMB Stop Buffer - 500ml,GenDEPOT,Stop Solution for TMB Substrate - 500 ML,TribioScience,substitute,,可替代,substitute,exact,0.857
P0046,不同品牌，功能相同,"WATER, 0.1um filtered, Cell Culture Tested - 50x500 ml",GenDEPOT,Agulos Biotech SimPL SP - 500 ml,AstorScientific,none,Agulos Biotech SimPL SP - 500 ml 功能不同，这个不是水,"不可替代,Agulos Biotech SimPL SP - 500 ml 功能不同，这个不是水",substitute,none,0.757
P0114,不同品牌，功能相同,100 bp DNA Ladder MD104 - MD104-02: 100 rxns (5 µl/rxn),Vazyme,100bp DNA Ladder - 1.0 ML,TribioScience,substitute,,可替代,exact,substitute,0.833
P0123,不同品牌，功能相同,Dulbecco's Phosphate-Buffered Saline (DPBS) - 1L,GenDEPOT,"Phosphate Buffered Saline, PBS - 1 L/each, 10 X",TribioScience,none,,不可替代,exact,substitute,0.794
P0124,不同品牌，功能相同,Dulbecco's Phosphate-Buffered Saline (DPBS) - 1L,GenDEPOT,"Phosphate Buffered Saline, PBS - 1 L/each, 1 X",TribioScience,none,,不可替代,exact,substitute,0.793
P0279,不同品牌，功能相同,Plasmid DNA Rapidprep Mini Kit - 50 Samples,TribioScience,PURY Plasmid Maxi Kit - 50 Prep,GenDEPOT,substitute,,可替代,none,substitute,0.839
P0379,不同品牌，功能相同,"Cell Culture Plate, 6 Well CCP01006 - CCP01006: 50/Case (1/Pack, 50 Packs/Case)",Vazyme,"Cell Culture Plates-6/12/24/48/96-Well, 1/Pack, 50/Case - 6-Well / Case (50 pcs)",Biologix,,无法判断，不知道是不是tc treated (biologix),无法判断，不知道是不是tc treated (biologix),exact,substitute,0.842
P0581,不同品牌，功能相同,Proteinase K - 1g,GenDEPOT,"Proteinase K, Lyophilized Powder, Molecular Biology Grade (TBS2119) - 1 G",TribioScience,substitute,,可替代,substitute,exact,0.798
P0787,不同品牌，功能相同,"WATER, 0.1um filtered, Cell Culture Tested - 500 ml",GenDEPOT,Agulos Biotech SimPL SP - 500 ml,AstorScientific,none,Agulos Biotech SimPL SP - 500 ml 功能不同，这个不是水,"不可替代,Agulos Biotech SimPL SP - 500 ml 功能不同，这个不是水",substitute,none,0.777
P0802,不同品牌，功能相同,"Tris Base, Ultra Pure - 5kg",GenDEPOT,"1M Tris-HCl Buffer - 1L, pH=9.5",TribioScience,none,,不可替代,substitute,none,0.784
P0971,不同品牌，功能相同,"Goat anti-Rabbit IgG(H+L)-HRP, 1mg/ml",GenDEPOT,MyQu™ 520nm – 640nm emission -anti-rabbit IgG conjugates - 1.0 ML,TribioScience,none,,不可替代,substitute,none,0.761
P0972,不同品牌，功能相同,"Goat anti-Rabbit IgG(H+L)-HRP, 1mg/ml",GenDEPOT,MagVigen™ anti-rabbit IgG conjugates - 1.0 ML,TribioScience,none,,不可替代,substitute,none,0.808
P0993,不同品牌，功能相同,"Tris Base, Ultra Pure - 1kg",GenDEPOT,"1M Tris-HCl Buffer - 1L, pH=7.0",TribioScience,none,,不可替代,substitute,none,0.803
P1035,不同品牌，功能相同,Mouse Adipoq (Adiponectin) - Recombinant Protein - 100ug,Astor Scientific,Mouse Adiponectin ELISA Kit - 1 Plate Kit,AstorScientific,none,,不可替代,substitute,none,0.861
P1041,不同品牌，功能相同,"CryoKING® Cardboard Freezer Boxes-2in ( Premium White) 5/Bag, 100/Case - 81-Well / Case (100 Pcs )",Biologix,"5"" Cardboard Freezer Boxes with Drain Holes - Water and Ice Resistant Coating, 50/Case - w/ 16 Dividers",AstorScientific,,无法判断,无法判断,none,substitute,0.737
P1184,不同品牌，功能相同,100 bp DNA Ladder MD104 - MD104-01: 50 rxns (5 µl/rxn),Vazyme,100bp DNA Ladder - 1.0 ML,TribioScience,substitute,,可替代,exact,substitute,0.842
P1316,不同品牌，功能相同,"LB Broth, Miller - 500g",GenDEPOT,Tribo™ Terrific Broth (TB) Medium - 1 L,TribioScience,none,,不可替代,none,substitute,0.83
P1494,不同品牌，功能相同,"Exprep Hybrid-Q Plasmid, Mini Prep - 50 Sample",TribioScience,PURY Plasmid Maxi Kit - 50 Prep,GenDEPOT,substitute,,可替代,none,substitute,0.815
P1582,不同品牌，功能相同,"dNTP Mixtures ,10mM each - 1ml",GenDEPOT,dNTP Mix (10 mM each) P031 - P031-02: 5 × 1 ml,Vazyme,substitute,,可替代,substitute,exact,0.879
P1589,不同品牌，功能相同,"CryoKING® Sliding Drawer Freezer Racks, 1 Piece/Case - 4 x 5",Biologix,"5"" Cardboard Freezer Boxes with Drain Holes - Water and Ice Resistant Coating, 50/Case - w/ 16 Dividers",AstorScientific,none,,不可替代,none,substitute,0.739
P1645,不同品牌，功能相同,"Bexarotene, Retinoid RXR agonist (TBI2121) - 50 MG",TribioScience,"Bexarotene, Free acid - 500mg",GenDEPOT,substitute,,可替代,substitute,exact,0.805
P1678,不同品牌，功能相同,"CryoKING® PC Cryogenic Boxes-2in. 25-Well, 5/Pack, 30/Case - Pack (5 Pcs)",Astor Scientific,"5"" Cardboard Freezer Boxes with Drain Holes - Water and Ice Resistant Coating, 50/Case - w/ 16 Dividers",AstorScientific,,无法判断,无法判断,none,substitute,0.799
P1847,不同品牌，功能相同,PURY Plasmid Maxi Kit - 50 Prep,GenDEPOT,GeneAll® Exfection™ Plasmid LE (Midi) - 26 Samples,TribioScience,substitute,,可替代,none,substitute,0.808
